CUSTNO	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
30	0	P	47.229754	-1.572034	0
36	0	P	47.221261	-1.585622	0
41	0	P	47.233521	-1.565815	0
6	20	S	47.2211	-1.555272	18000
12	50	S	47.219669	-1.55567	0
14	30	S	47.229771	-1.554525	3600
25	40	S	47.217716	-1.55174	1800
48	30	S	47.214954	-1.574183	25200
82	40	LS	47.228217	-1.578851	12600
87	90	LS	47.240526	-1.591229	23400
91	90	LS	47.236071	-1.584305	14400
93	60	LS	47.232531	-1.591553	21600
97	60	LS	47.235269	-1.582865	23400
