CUSTNO	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
15	0	P	47.234018	-1.535018	0
17	0	P	47.214782	-1.528867	0
41	0	P	47.233521	-1.565815	0
9	40	S	47.216294	-1.551915	7200
13	50	S	47.21789	-1.542601	10800
18	10	S	47.216174	-1.561164	19800
45	30	S	47.222295	-1.530817	12600
74	30	S	47.214815	-1.574247	3600
32	80	LS	47.248309	-1.576958	23400
38	50	LS	47.20822	-1.529422	16200
42	100	LS	47.236236	-1.563558	16200
44	20	LS	47.230202	-1.52356	1800
83	30	LS	47.209999	-1.595902	5400
92	80	LS	47.228719	-1.604925	14400
98	10	LS	47.22216	-1.606121	23400
