CUSTNO	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
15	0	P	47.234018	-1.535018	0
34	0	P	47.205724	-1.548747	0
36	0	P	47.221261	-1.585622	0
6	20	S	47.2211	-1.555272	18000
14	30	S	47.229771	-1.554525	3600
31	10	S	47.215738	-1.558752	14400
63	40	S	47.224371	-1.577142	18000
65	40	S	47.210957	-1.551387	25200
33	50	LS	47.214668	-1.567069	10800
53	90	LS	47.234715	-1.541116	1800
59	20	LS	47.214017	-1.58514	3600
97	60	LS	47.235269	-1.582865	23400
98	10	LS	47.22216	-1.606121	23400
