CUSTNO	DEMAND	VERTEX_TYPE	LATITUDE	LONGITUDE	TW_OPENING
1	0	D	47.282609	-1.520303	0
30	0	P	47.229754	-1.572034	0
34	0	P	47.205724	-1.548747	0
73	0	P	47.225871	-1.523495	0
6	20	S	47.221100	-1.555272	18000
12	50	S	47.219669	-1.55567	0
25	40	S	47.217716	-1.55174	1800
35	50	S	47.216722	-1.555231	7200
32	80	LS	47.248309	-1.576958	23400
33	50	LS	47.214667	-1.567069	10800
46	90	LS	47.221651	-1.559239	1800
66	80	LS	47.220703	-1.548304	16200
77	100	LS	47.239171	-1.570886	16200
78	100	LS	47.223438	-1.598438	1800
87	90	LS	47.240526	-1.591229	23400
97	60	LS	47.235269	-1.582865	23400
